iddocumentocontable,idcentro_costos,idtipo_documento,idestado,idestadosunat,idmoneda,idcondicion_pago,id_serie,idempresa,tipo_operacion,numero_documento,id_origen,direccion,codigo_pedido,serie_pedido,id_modulo,identidad_emisor,identidad_receptora,monto_subtotal,monto_igv,monto_total,monto_total_desc,valorigv,fecha_emision,fecha_anulacion,fecha_vencimiento,otros_tributos,otros_cargos,observacion,log_usuariocreacion,log_fechacreacion,log_usuariomodif,log_fechamodif,log_estado,monto_isc,serie_compras,total_precio_venta,peso_bruto,peso_neto,monto_igv_gratuito,codigoordencompra
1941727,NULL,2011,14,8,1,1,417,68007,0,13147,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,127.12,22.88,150,CIENTO CINCUENTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,48:55.2,larias.rcp-cst,49:30.0,1,0,NULL,150,0,0,0,NULL
1941728,NULL,2015,2,8,1,55,398,68007,2,713,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,127.12,22.88,150,CIENTO CINCUENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,49:21.2,larias.rcp-cst,49:28.0,1,0,NULL,150,0,0,0,NULL
1941742,NULL,2011,14,8,1,1,417,68007,0,13148,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,52:00.8,larias.rcp-cst,53:04.0,1,0,NULL,100,0,0,0,NULL
1941747,NULL,2015,2,8,1,55,398,68007,2,714,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,52:46.1,larias.rcp-cst,53:01.2,1,0,NULL,100,0,0,0,NULL
1936613,NULL,2011,14,8,1,1,417,68007,0,13143,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,254.24,45.76,300,TRESCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,53:07.2,larias.rcp-cst,53:50.5,1,0,NULL,300,0,0,0,NULL
1936615,NULL,2015,2,8,1,55,398,68007,2,707,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,254.24,45.76,300,TRESCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,53:43.5,larias.rcp-cst,53:49.0,1,0,NULL,300,0,0,0,NULL
1936618,NULL,2011,14,8,1,1,417,68007,0,13144,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,254.24,45.76,300,TRESCIENTOS CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,54:37.6,larias.rcp-cst,55:13.0,1,0,NULL,300,0,0,0,NULL
1936620,NULL,2015,2,8,1,55,398,68007,2,708,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,254.24,45.76,300,TRESCIENTOS CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,55:03.0,larias.rcp-cst,55:10.1,1,0,NULL,300,0,0,0,NULL
1936630,NULL,2011,14,8,1,1,417,68007,0,13145,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,57:02.3,larias.rcp-cst,57:39.0,1,0,NULL,100,0,0,0,NULL
1936634,NULL,2015,2,8,1,55,398,68007,2,709,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,57:27.1,larias.rcp-cst,57:36.2,1,0,NULL,100,0,0,0,NULL
1936637,NULL,2015,2,8,1,55,398,68007,2,710,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,67.8,12.2,80,OCHENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,59:38.1,larias.rcp-cst,59:40.6,1,0,NULL,80,0,0,0,NULL
1936644,NULL,2015,2,8,1,55,398,68007,2,711,00:00.0,NULL,NULL,NULL,00:00.0,00:00.0,00:00.0,9.32,1.68,11,ONCE CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,01:33.3,larias.rcp-cst,01:35.8,1,0,NULL,11,0,0,0,NULL
1937624,NULL,2011,14,8,1,1,417,68007,0,13146,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,55:17.0,larias.rcp-cst,55:47.3,1,0,NULL,100,0,0,0,NULL
1937625,NULL,2015,2,8,1,55,398,68007,2,712,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,84.75,15.25,100,CIEN CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,55:39.9,larias.rcp-cst,55:45.9,1,0,NULL,100,0,0,0,NULL
1934985,NULL,2011,14,8,1,1,417,68007,0,13140,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,127.12,22.88,150,CIENTO CINCUENTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,56:34.8,larias.rcp-cst,57:04.4,1,0,NULL,150,0,0,0,NULL
1934987,NULL,2015,2,8,1,55,398,68007,2,705,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,127.12,22.88,150,CIENTO CINCUENTA CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,56:55.7,larias.rcp-cst,57:01.3,1,0,NULL,150,0,0,0,NULL
1934989,NULL,2011,13,8,1,1,417,68007,0,13141,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,135.59,24.41,160,CIENTO SESENTA CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,58:38.2,larias.rcp-cst,58:41.3,1,0,NULL,160,0,0,0,NULL
1934990,NULL,2011,14,8,1,1,417,68007,0,13142,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,NULL,0,0,NULL,larias.rcp-cst,59:24.2,larias.rcp-cst,59:57.9,1,0,NULL,110,0,0,0,NULL
1934991,NULL,2015,2,8,1,55,398,68007,2,706,00:00.0,,NULL,NULL,00:00.0,00:00.0,00:00.0,93.22,16.78,110,CIENTO DIEZ CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,larias.rcp-cst,59:44.3,larias.rcp-cst,59:51.8,1,0,NULL,110,0,0,0,NULL
1928165,NULL,1003,2,2,1,55,378,68007,2,210,NULL,CALLE LOS PINOS 103 - A,NULL,NULL,00:00.0,00:00.0,00:00.0,10169.49,1830.51,12000,DOCE MIL CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,OPERACION SUJETA A SPOT 12%,vcoa-cst,04:10.6,vcoa-cst,04:21.6,1,0,NULL,12000,0,0,0,NULL
1928193,NULL,1003,2,2,1,55,378,68007,2,211,NULL,AV KENNEDY N° 1505 URB CESAR VALLEJO PAUCARPATA- AREQUIPA ,NULL,NULL,00:00.0,00:00.0,00:00.0,10169.49,1830.51,12000,DOCE MIL CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,vcoa-cst,10:32.7,vcoa-cst,10:38.0,1,0,NULL,12000,0,0,0,NULL
1928218,NULL,1003,2,2,1,55,378,68007,2,212,NULL,MZA A LOTE 24 URB CESAR VALLEJO PAUCARPATA - AREQUIPA ,NULL,NULL,00:00.0,00:00.0,00:00.0,10169.49,1830.51,12000,DOCE MIL CON 00/100,0.18,00:00.0,NULL,00:00.0,0,0,NULL,vcoa-cst,14:54.1,DEMONIO,00:54.6,1,0,NULL,12000,0,0,0,NULL
